Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1806.049043
FDW14,OUT017,1467.833714
NCN55,OUT010,642.6607324
FDQ58,OUT017,2636.8292
FDY38,OUT027,5795.058928
FDH56,OUT046,1968.702647
FDL48,OUT018,682.0544615
FDC48,OUT027,2191.672314
FDN33,OUT045,1595.542827
FDA36,OUT017,3243.250033
FDT44,OUT017,1949.93058
FDQ56,OUT045,1422.32926
NCC54,OUT019,582.1815984
FDU11,OUT049,2040.910403
DRL59,OUT013,920.8878904
FDM24,OUT049,2647.46153
FDI57,OUT045,4701.08181
DRC12,OUT018,2753.207473
NCM42,OUT027,2909.462179
FDA46,OUT010,471.9041361
FDA31,OUT013,2833.059095
NCJ31,OUT035,4037.923176
FDG52,OUT046,882.5522344
NCL19,OUT019,341.9557365
FDS10,OUT035,3017.603257
FDX22,OUT010,515.6089308
NCF19,OUT035,866.8313259
NCE06,OUT046,2511.205829
DRC27,OUT046,3725.014517
FDE21,OUT035,1989.409866
NCR42,OUT019,92.30293341
FDX51,OUT018,2684.06186
NCR06,OUT018,681.0001501
FDU31,OUT027,5624.393843
FDU59,OUT017,2661.064497
FDR03,OUT027,5192.713362
FDS49,OUT027,2223.803591
FDD48,OUT010,301.2505883
NCF18,OUT017,3102.361866
NCD43,OUT027,2763.245234
NCD54,OUT018,2015.412541
FDY19,OUT010,306.4097571
NCY54,OUT017,2714.62011
NCL19,OUT018,2039.787423
FDP23,OUT010,518.34852
FDC26,OUT013,1860.215326
FDR14,OUT010,89.59196423
NCS41,OUT035,3039.06306
FDF41,OUT035,4236.062487
FDU34,OUT046,2047.953226
DRH11,OUT046,1144.617033
FDM03,OUT013,1934.887186
FDS31,OUT017,3036.02018
FDJ20,OUT017,2017.651725
FDV44,OUT027,4916.350968
FDG02,OUT049,3140.278716
FDA09,OUT013,2886.994504
FDT04,OUT013,595.890937
FDL58,OUT019,704.6216767
FDE52,OUT045,1444.819333
FDW12,OUT035,2499.351199
FDL51,OUT017,3499.678971
NCY42,OUT027,3641.121056
FDR07,OUT017,1625.411967
FDN40,OUT045,2400.45895
FDB35,OUT027,2456.45368
FDA22,OUT017,2807.099869
NCL06,OUT046,3952.958196
FDI35,OUT013,2845.202243
NCW42,OUT045,3349.260251
NCX06,OUT049,3132.674244
FDC37,OUT027,2845.564541
FDZ14,OUT018,1690.638788
DRG49,OUT049,4177.214073
NCG06,OUT045,3881.342808
DRC36,OUT045,2763.940492
FDV21,OUT019,333.3688013
FDB53,OUT046,2402.735957
DRP47,OUT019,635.5740033
FDA14,OUT013,2291.972405
DRC24,OUT035,2437.905386
FDW21,OUT018,1477.645982
NCH29,OUT046,1715.14621
FDU58,OUT013,3027.324731
FDY27,OUT017,2910.400262
FDV56,OUT035,1864.553414
FDT59,OUT046,3566.072826
FDB23,OUT046,3682.534286
FDR49,OUT045,853.6163795
FDB03,OUT010,554.3059309
FDN39,OUT045,2443.121289
FDX02,OUT027,5522.65457
FDQ16,OUT027,2845.196414
FDU35,OUT018,1408.079768
NCT29,OUT013,1926.766157
FDZ27,OUT046,914.681874
FDN57,OUT017,2361.156342
FDA03,OUT018,1990.01959
FDZ36,OUT045,2986.666692
NCU05,OUT013,1301.056076
FDT39,OUT018,2108.064082
FDK60,OUT017,1601.348751
FDZ25,OUT017,2961.566458
FDG12,OUT046,2169.103974
DRB01,OUT019,524.6786452
NCC43,OUT027,6233.486535
FDX13,OUT019,675.2689417
FDM22,OUT049,907.7590537
FDJ03,OUT027,1386.08869
FDU14,OUT018,3411.699579
FDB33,OUT010,410.1240395
FDP27,OUT046,3014.304782
FDO38,OUT010,221.0763577
FDE28,OUT027,5875.218481
FDO27,OUT035,1740.214669
DRL23,OUT027,2667.763715
FDS28,OUT046,1038.051791
FDX24,OUT013,1558.139437
FDZ02,OUT035,1605.859971
FDL46,OUT045,1892.469864
FDS60,OUT027,4525.264268
NCO06,OUT017,532.9287134
FDO16,OUT035,1440.93983
FDC60,OUT049,1594.4288
FDA48,OUT018,3067.770379
FDZ36,OUT027,4753.082218
FDK27,OUT045,1833.475382
FDW23,OUT018,627.5340562
FDM14,OUT018,1610.916891
FDM14,OUT013,1808.861978
FDW60,OUT018,2597.899571
FDE21,OUT013,1914.238093
NCM42,OUT035,1879.238493
FDY59,OUT010,273.4322713
DRI49,OUT049,1319.44646
FDT28,OUT019,395.0845276
FDQ22,OUT018,634.1524138
FDR60,OUT049,1254.968248
FDC50,OUT019,260.9919267
FDV24,OUT013,2523.19379
DRF48,OUT010,548.2436564
FDQ47,OUT046,829.9133015
DRN36,OUT049,1598.79764
NCY06,OUT035,2179.477062
FDE52,OUT035,1494.305298
NCB54,OUT045,2023.149761
NCF31,OUT035,2556.355896
FDJ08,OUT027,4940.749998
NCC07,OUT017,1831.208923
NCD19,OUT027,1584.36319
FDL46,OUT049,1983.992255
FDM20,OUT045,3807.210289
NCI06,OUT010,424.7145762
DRM11,OUT035,4330.295714
NCH07,OUT018,2207.540262
FDS23,OUT013,2087.770703
FDO49,OUT018,454.90899
FDS35,OUT049,1125.119907
DRK39,OUT045,1334.515009
DRI39,OUT049,922.3117766
FDV04,OUT017,2544.063588
NCN14,OUT035,3072.42398
FDH08,OUT013,3751.053612
FDS20,OUT046,2919.026836
FDV40,OUT049,1228.201692
FDZ48,OUT010,205.9220725
FDS24,OUT027,2392.038632
FDK44,OUT049,2887.31466
FDS48,OUT045,2326.582439
FDK26,OUT010,481.8040531
FDD23,OUT045,2985.603907
NCH54,OUT017,2638.976193
NCP14,OUT010,289.257318
FDM60,OUT010,100.6535291
FDV24,OUT017,2554.221494
FDH08,OUT018,3212.500642
FDS12,OUT027,3306.839894
FDR39,OUT027,4687.675986
FDP12,OUT027,1124.327207
DRF60,OUT027,6046.242856
FDC09,OUT035,1761.650661
FDF50,OUT018,2769.524283
FDG28,OUT035,4159.688186
NCE19,OUT017,935.8568599
NCM53,OUT010,291.6918229
NCN18,OUT049,2052.982317
FDF32,OUT035,3346.677854
FDF11,OUT013,3793.328781
DRI59,OUT049,3700.488493
NCG54,OUT035,2821.24449
FDM44,OUT046,1729.081077
FDT57,OUT018,3272.648289
FDV24,OUT046,2556.989033
FDI50,OUT019,601.1727197
FDS09,OUT035,925.4797902
NCC31,OUT027,3946.641394
FDQ07,OUT019,582.8638596
FDC22,OUT017,3084.298826
FDZ56,OUT046,2688.232172
FDZ40,OUT019,93.72110579
FDS46,OUT027,3119.343684
DRD24,OUT045,2268.302361
FDV45,OUT017,3142.798938
FDL26,OUT045,2447.014454
FDA56,OUT018,1761.615048
FDN27,OUT046,1886.936318
FDM20,OUT049,4113.512037
FDO16,OUT017,1446.477607
FDL03,OUT035,3177.019365
FDE58,OUT046,1937.689554
FDI02,OUT027,2977.92553
NCC55,OUT019,116.4205135
FDR03,OUT018,2814.688257
FDB14,OUT017,1644.190983
FDR45,OUT013,3868.530289
NCN07,OUT017,2140.077359
FDM51,OUT019,242.510233
FDT52,OUT027,6205.926692
FDL26,OUT046,2469.524823
NCZ42,OUT046,3601.328803
DRI47,OUT019,373.9828676
FDW40,OUT013,2298.963885
FDN34,OUT046,2674.112667
FDS01,OUT035,3004.48059
NCG55,OUT045,1875.127792
FDC11,OUT035,1920.249947
FDX35,OUT018,3056.341113
NCB06,OUT046,2525.07272
FDR09,OUT019,689.4689428
FDC53,OUT017,1692.195017
FDY45,OUT013,4112.814302
FDA22,OUT010,470.1494006
FDE02,OUT035,1656.924647
FDW21,OUT045,1669.538006
FDV34,OUT046,1357.378232
FDS59,OUT049,1842.804511
NCW17,OUT017,2176.735054
NCK54,OUT046,1880.674973
FDG17,OUT019,711.0009869
FDG35,OUT017,3026.155489
FDD08,OUT010,57.86580797
NCO07,OUT017,3636.859293
FDJ10,OUT010,366.67985
FDW36,OUT017,1775.157132
FDW21,OUT010,287.1669538
FDY19,OUT017,2014.883516
DRE03,OUT013,750.2456165
NCC55,OUT049,847.3624217
FDH52,OUT010,129.0219545
FDO09,OUT017,4338.122554
FDU43,OUT045,3696.794405
FDX09,OUT010,432.0818715
FDH40,OUT019,198.89408
FDW58,OUT017,1847.270322
FDC47,OUT017,3686.798722
NCR41,OUT035,1638.631461
DRG49,OUT035,4054.088252
FDC52,OUT027,3840.910212
FDY13,OUT046,1367.461415
FDY35,OUT013,782.2661985
FDI35,OUT017,3109.92222
NCU18,OUT049,2525.031757
FDY33,OUT018,2223.687052
FDC15,OUT027,3960.941974
FDU01,OUT049,3088.614521
NCU42,OUT046,2610.181734
NCV29,OUT018,2454.523887
NCY30,OUT017,3027.017416
FDQ46,OUT049,1889.363884
FDG58,OUT027,3942.123148
FDK33,OUT017,3574.357023
NCD07,OUT045,1868.2401
NCX29,OUT027,3710.203723
NCT42,OUT013,2395.930108
DRN59,OUT035,846.9686969
FDI44,OUT035,1363.490348
FDA45,OUT049,2925.174774
FDP31,OUT045,1122.632707
FDY01,OUT046,1939.791736
FDT09,OUT018,1893.839197
DRH03,OUT027,2496.165834
FDA36,OUT018,2669.322321
NCF31,OUT017,2537.552515
FDG14,OUT049,2526.952751
FDG28,OUT027,6221.427945
FDU14,OUT049,4084.454013
FDY47,OUT019,373.079434
FDI56,OUT049,1516.17295
DRD01,OUT013,928.562041
FDM22,OUT046,1065.315541
FDH33,OUT013,744.0904041
DRZ24,OUT013,1966.485695
NCQ38,OUT046,1720.618082
FDO16,OUT027,2266.092181
FDU07,OUT027,3973.525427
NCB07,OUT013,3093.645562
FDU48,OUT045,2019.099083
NCM43,OUT045,2569.854001
FDR31,OUT010,376.0739612
DRK49,OUT018,588.1083662
NCI30,OUT010,594.8126226
DRD60,OUT017,3084.039724
NCG19,OUT046,3502.062119
FDH12,OUT035,1787.807544
FDM32,OUT035,1576.830669
FDM27,OUT035,2675.262964
NCU53,OUT027,4205.010174
NCQ18,OUT046,1613.896461
FDS10,OUT013,2877.020683
FDB33,OUT027,4168.541472
FDI12,OUT013,1480.873692
NCW42,OUT013,3518.567492
NCC06,OUT018,1828.507539
FDW02,OUT017,2085.319883
NCD43,OUT017,1813.66863
FDM57,OUT018,1241.296587
FDA58,OUT017,3869.5654
FDK56,OUT046,2945.781252
FDP52,OUT045,3593.298469
FDW20,OUT018,1772.031178
FDS52,OUT049,1667.482173
NCT29,OUT018,1716.467148
NCL54,OUT013,2820.170786
FDC05,OUT045,3078.736982
FDF34,OUT035,3280.384347
FDP03,OUT027,3367.577308
FDD32,OUT010,216.7844837
FDZ10,OUT045,2040.665154
