Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1640.0440824831821
FDW14,OUT017,1357.0017725794219
NCN55,OUT010,565.6501689081321
FDQ58,OUT017,2496.9292639620194
FDY38,OUT027,6172.766620751488
FDH56,OUT046,1983.2045719398045
FDL48,OUT018,748.2619233560995
FDC48,OUT027,2175.1248340304396
FDN33,OUT045,1529.8766514081935
FDA36,OUT017,3090.1492779843024
FDT44,OUT017,1982.9919584905824
FDQ56,OUT045,1353.924863761304
NCC54,OUT019,616.080973028855
FDU11,OUT049,2033.0339366794005
DRL59,OUT013,793.442186961765
FDM24,OUT049,2474.8034553255507
FDI57,OUT045,3117.163607351126
DRC12,OUT018,3015.770204632992
NCM42,OUT027,2895.4502489276697
FDA46,OUT010,478.3222074289627
FDA31,OUT013,2820.028579137456
NCJ31,OUT035,3820.2256648489206
FDG52,OUT046,763.1041913200737
NCL19,OUT019,306.8076799716687
FDS10,OUT035,3040.2770282848874
FDX22,OUT010,530.3707774705166
NCF19,OUT035,763.1041913200737
NCE06,OUT046,2559.257795136681
DRC27,OUT046,3913.862384467747
FDE21,OUT035,1975.5131903694596
NCR42,OUT019,90.70992376032706
FDX51,OUT018,3027.1677589910014
NCR06,OUT018,598.2547414106598
FDU31,OUT027,5628.867796278489
FDU59,OUT017,2549.1398750485673
FDR03,OUT027,5548.125645361064
FDS49,OUT027,2207.438774049626
FDD48,OUT010,265.2384510296044
NCF18,OUT017,3070.7681755073004
NCD43,OUT027,2581.3716060754923
NCD54,OUT018,2021.477127062816
FDY19,OUT010,252.50539461773246
NCY54,OUT017,2850.6372281669605
NCL19,OUT018,2426.153626573911
FDP23,OUT010,528.6133003962863
FDC26,OUT013,1755.6565735269867
FDR14,OUT010,171.6484883497937
NCS41,OUT035,3092.9400212931982
FDF41,OUT035,3884.415011130055
FDU34,OUT046,2044.8068996277893
DRH11,OUT046,860.2260398132483
FDM03,OUT013,1644.5624804220038
FDS31,OUT017,3047.4467610872152
FDJ20,OUT017,2013.2434589060392
FDV44,OUT027,5144.472698617445
FDG02,OUT049,3097.5725578293295
FDA09,OUT013,2996.06155319303
FDT04,OUT013,616.5123043272688
FDL58,OUT019,610.2181910225867
FDE52,OUT045,1380.568874317613
FDW12,OUT035,2511.5342809121976
FDL51,OUT017,3660.1064240055916
NCY42,OUT027,3379.4509403662382
FDR07,OUT017,1542.3243273947667
FDN40,OUT045,2466.8969406254996
FDB35,OUT027,2515.59476990831
FDA22,OUT017,2588.6039631751078
NCL06,OUT046,4035.9417679215694
FDI35,OUT013,3168.7492198655805
NCW42,OUT045,3727.3647413259528
NCX06,OUT049,3021.225830360888
FDC37,OUT027,2594.16819372499
FDZ14,OUT018,1886.6716017176095
DRG49,OUT049,4006.2089555656466
NCG06,OUT045,4006.1373231468133
DRC36,OUT045,2846.8002191761016
FDV21,OUT019,332.01403809859994
FDB53,OUT046,2507.6816708935175
DRP47,OUT019,592.5027458629911
FDA14,OUT013,2446.51165649654
DRC24,OUT035,2543.6137904581087
FDW21,OUT018,1595.0925545809403
NCH29,OUT046,1564.216478414371
FDU58,OUT013,3088.780092421664
FDY27,OUT017,2878.4977868855517
FDV56,OUT035,1656.0959510460575
FDT59,OUT046,3856.6542159501787
FDB23,OUT046,3784.7784775203845
FDR49,OUT045,758.0496406973251
FDB03,OUT010,592.7617300476285
FDN39,OUT045,2637.604962726358
FDX02,OUT027,5777.968417870509
FDQ16,OUT027,2611.2843424116163
FDU35,OUT018,1535.1227575336004
NCT29,OUT013,2022.4122585393063
FDZ27,OUT046,763.1041913200737
FDN57,OUT017,2037.1183176380318
FDA03,OUT018,2370.8299148500428
FDZ36,OUT045,3068.31014909864
NCU05,OUT013,1290.2752099406753
FDT39,OUT018,2407.2621684641194
FDK60,OUT017,1542.3243273947667
FDZ25,OUT017,2807.42206871251
FDG12,OUT046,2054.348951567987
DRB01,OUT019,487.6583581976166
NCC43,OUT027,6293.156491841157
FDX13,OUT019,569.2336859184247
FDM22,OUT049,831.2153272622866
FDJ03,OUT027,1264.6538615297775
FDU14,OUT018,3650.323687681292
FDB33,OUT010,408.76373760959336
FDP27,OUT046,3083.492898915636
FDO38,OUT010,172.87537876330188
FDE28,OUT027,5984.703153733642
