Id,sex,annual_income,monthly_expenses,home_ownership,water_availabity,loan_tenure,loan_installments,loan_amount
1,F,36000,5000,1,0.5,12,12,5000
2,F,94000,3600,1,0.5,12,50,7500
3,M,48000,4000,1,0.5,12,12,5000
4,F,7000,5000,1,0.5,12,50,7500
5,F,36000,3500,1,0.5,12,12,5000
6,F,36000,3500,1,0.5,12,12,5000
7,F,36000,3000,1,0.5,12,12,5000
8,F,7000,5000,1,0.5,12,50,7500
9,F,36000,5000,1,0.5,12,12,5000
10,F,36000,5000,1,0.5,12,12,5000
11,F,40000,3000,1,0.5,12,12,5000
12,F,60000,5000,1,0.5,12,12,5000
13,F,95000,5200,1,0.5,12,50,7500
14,F,36000,5000,1,0.5,12,12,5000
15,F,42000,3500,0,0.5,12,12,5000
16,M,48000,4000,0,0.5,12,12,5000
17,F,95000,4000,1,0.5,12,50,7500
18,M,48000,4000,1,0.5,12,12,5000
19,M,36000,5000,1,0.5,12,12,5000
20,F,95000,400,1,0.5,12,50,7500
21,F,36000,3000,0,0.5,12,12,5000
22,F,50000,4400,1,0.5,12,50,7500
23,F,3600,5000,1,0.5,12,12,5000
24,M,3600,4000,1,0.5,12,12,5000
25,F,48000,4000,1,0.5,12,12,5000
26,F,60000,5000,1,0.5,12,12,5000
27,M,60000,5000,1,0.5,12,12,5000
28,F,42000,3500,1,0.5,12,12,5000
29,F,36000,36000,1,0.5,12,12,5000
30,F,36000,5000,1,0.5,12,12,5000
31,M,48000,5000,1,0.5,12,12,5000
32,F,36000,3000,1,0.5,12,12,5000
33,F,95000,4400,1,0.5,12,50,7500
34,F,3000,36000,1,0.5,12,12,5000
35,F,95000,5000,1,0.5,12,50,7500
36,F,48000,4000,1,0.5,12,12,5000
37,F,95000,4600,1,0.5,12,50,7500
38,F,36000,3000,1,0.5,12,12,5000
39,F,36000,3000,1,0.5,12,12,5000
40,F,36000,3000,1,0.5,12,12,5000
41,F,36000,3000,1,0.5,12,12,5000
42,F,60000,4000,1,0.5,12,12,5000
43,F,36000,3000,1,0.5,24,24,5000
44,F,50400,4200,1,0.5,12,50,7500
45,F,95000,5000,1,0.5,12,50,7500
46,F,42000,5600,1,0.5,12,50,7500
47,F,95000,4300,1,0.5,12,50,7500
48,F,78000,3500,1,0.5,12,50,7500
49,F,95000,4000,1,0.5,12,50,7500
50,F,95000,4700,1,0.5,12,50,7500
51,F,100800,5000,1,0.5,12,50,7500
52,F,114000,5200,1,0.5,12,50,7500
53,F,42000,5600,1,0.5,12,50,7500
54,F,93600,4000,1,0.5,12,50,7500
55,F,36000,3500,1,0.5,12,50,7500
56,F,0,3200,1,0.5,12,50,7500
57,F,165600,4000,1,0.5,12,50,7500
58,F,36000,3000,1,0.5,12,12,5000
59,F,90000,4000,1,0.5,12,50,7500
60,F,93600,4200,1,0.5,12,50,7500
61,F,48000,4000,1,0.5,12,12,5000
62,F,95000,5000,1,0.5,12,50,7500
63,F,36000,3000,1,0.5,12,12,5000
64,F,0,3300,1,0.5,12,50,7500
65,F,42000,3500,1,0.5,12,12,5000
66,F,42000,2500,1,0.5,12,50,7500
67,F,36000,3000,1,0.5,12,12,5000
68,F,93600,3500,1,0.5,12,50,7500
69,F,36000,3000,1,0.5,12,12,5000
70,F,36000,3000,1,0.5,12,12,5000
71,F,48000,4000,1,0.5,12,12,5000
72,F,36000,3000,1,0.5,12,12,5000
73,F,36000,3000,1,0.5,12,12,5000
74,F,40000,4000,1,0.5,12,12,5000
75,F,48000,4000,1,0.5,12,12,5000
76,F,36000,3000,1,0.5,12,12,5000
77,F,36000,3000,1,0.5,12,12,5000
78,F,36000,3000,1,0.5,12,12,5000
79,F,3000,3000,1,0.5,12,12,5000
80,F,45000,4000,1,0.5,12,12,5000
81,F,60000,5000,1,0.5,12,12,5000
82,F,36000,3000,1,0.5,12,12,5000
83,F,36000,3000,1,0.5,12,12,5000
84,F,36000,3000,1,0.5,12,12,5000
85,F,48000,3500,1,0.5,12,50,7500
86,F,48000,3500,1,0.5,12,50,7500
87,F,78000,5000,1,0.5,12,50,7500
88,F,93600,4000,1,0.5,12,50,7500
89,F,1.00E+05,5000,1,0.5,12,50,7500
90,F,48000,4000,1,0.5,12,50,7500
91,F,36000,3000,1,0.5,12,12,5000
92,F,75000,3000,1,0.5,12,50,7500
93,F,96000,3000,1,0.5,12,50,7500
94,F,36000,3000,1,0.5,12,12,5000
95,F,96000,3500,1,0.5,12,50,7500
96,F,36000,3000,1,0.5,12,12,5000
97,F,36000,3500,1,0.5,12,50,7500
98,F,60000,3000,1,0.5,12,50,7500
99,F,95000,5000,1,0.5,12,50,7500
100,F,72000,2500,1,0.5,12,50,7500
101,F,95000,4000,1,0.5,12,50,7500
102,F,36000,4000,1,0.5,12,50,7500
103,F,95000,4000,1,0.5,12,50,7500
104,F,48000,3500,1,0.5,12,50,7500
105,F,95000,3100,1,0.5,12,50,7500
106,F,48000,4500,1,0.5,12,50,7500
107,F,72000,3000,1,0.5,12,50,7500
108,F,66000,4400,1,0.5,12,50,7500
109,F,36000,3000,1,0.5,12,12,5000
110,F,60000,4500,1,0.5,12,12,5000
111,F,36000,3000,1,0.5,12,12,5000
112,F,36000,3000,1,0.5,12,12,5000
113,F,36000,3000,1,0.5,12,12,5000
114,F,36000,3000,1,0.5,12,12,5000
115,F,40000,3200,1,0.5,12,12,5000
116,F,36000,3000,1,0.5,12,12,5000
117,F,40000,3200,1,0.5,12,12,5000
118,F,30000,2500,1,0.5,12,12,5000
